formulation_id,viability_percent,dmso_percent,source_doi,acetamide_M,betaine_M,cooh_pll_M,creatine_M,dextran_M,dmso_M,ectoin_M,ethylene_glycol_M,fbs_M,ficoll_M,glucose_M,glycerol_M,hes_M,hsa_M,human_serum_M,hyaluronic_acid_M,methylcellulose_M,peg_M,pentaisomaltose_M,proline_M,propylene_glycol_M,pvp_M,raffinose_M,sericin_M,sucrose_M,taurine_M,trehalose_M
1,96.0,10.0, https://doi.org/10.1002/term.2175,0.0,0.0,0.0,0.0,0.0,1.407909893766799,0.07034327518289252,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0
2,12.5,0.0,10.1038/srep09596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025
3,75.5875,5.0,10.1038/srep09596; https://doi.org/10.21873/invivo.13565; https://doi.org/10.1002/btpr.70019; doi:10.1046/j.1537-2995.2001.41050667.x,0.0,0.0,0.0,0.0,0.0,0.7039549468833995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,72.46666666666667,10.0,https://doi.org/10.1002/btpr.464; https://doi.org/10.1371/journal.pone.0220055 ; https://doi.org/10.1002/btpr.70019; 10.3109/14653240903313966; https://doi.org/10.15283/ijsc.2015.8.2.155; 10.1016/j.cryobiol.2020.05.014; https://doi.org/10.1016/j.cryobiol.2009.06.005; doi:10.1038/s41598-024-65469-4; https://doi.org/10.1089/scd.2009.0173; 10.1038/srep09596; https://doi.org/10.3727/096368911X605556; doi:10.1186/1472-6750-12-49; doi:10.1046/j.1537-2995.2001.41050667.x; https://doi.org/10.1007/s10561,0.0,0.0,0.0,0.0,0.0,1.407909893766799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,84.5,5.0,10.1038/srep09596; 10.1155/2012/649353,0.0,0.0,0.0,0.0,0.0,0.7039549468833995,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,83.0,10.0,https://doi.org/10.1371/journal.pone.0220055 ; 10.3109/14653249.2012.677820; 10.1089/bio.2012.0005; 10.1038/srep09596; 10.1155/2012/649353,0.0,0.0,0.0,0.0,0.0,1.407909893766799,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,82.14,10.0,https://doi.org/10.1002/btpr.464; https://doi.org/10.1186/s13287-020-01969-0; 10.1089/bio.2012.0005; 10.1038/srep09596; 10.1007/s10517-021-05187-3,0.0,0.0,0.0,0.0,0.0,1.407909893766799,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,69.625,5.0,10.1016/j.transproceed.2008.03.04; https://doi.org/10.1016/j.cryobiol.2013.02.002,0.0,0.0,0.0,0.0,0.0,0.7039549468833995,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,65.48,0.0,https://doi.org/10.3390/life13061286 ; https://doi.org/10.15283/ijsc.2015.8.2.155; 10.1002/term.1945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.0
10,63.17777777777778,10.0,https://doi.org/10.1002/btpr.464; https://doi.org/10.15283/ijsc.2015.8.2.155; 10.1089/bio.2020.0091; https://doi.org/10.1016/j.cryobiol.2013.02.002; https://doi.org/10.3390/life13061286 ; 10.1002/term.1945,0.0,0.0,0.0,0.0,0.0,1.407909893766799,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
